,Mean,Median,Std Dev,IQR,Range
60s,0.5,0.5,0.5000289309995902,1.0,0-1
70s,0.49987120041215866,0.0,0.5000321864174178,1.0,0-1
80s,0.5000723903286521,1.0,0.5000361938543406,1.0,0-1
90s,0.500090596122486,1.0,0.5000452960094911,1.0,0-1
00s,0.4999148356327712,0.0,0.500042580370521,1.0,0-1
10s,0.4998436522826767,0.0,0.5000390670667676,1.0,0-1
