,RandomForest,ExtraTrees,GradientBoosting,HistGradientBoosting,AdaBoost,LinearSVC,SGD,GaussianNB,DecisionTree
dataset-of-00s,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.05, 'max_depth': None, 'max_iter': 100}","{'learning_rate': 1.0, 'n_estimators': 100}",{'C': 10},"{'alpha': 0.0001, 'penalty': 'l1'}",{},"{'max_depth': 10, 'min_samples_split': 2}"
dataset-of-10s,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': None, 'max_iter': 100}","{'learning_rate': 1.0, 'n_estimators': 100}",{'C': 0.1},"{'alpha': 0.0001, 'penalty': 'l1'}",{},"{'max_depth': 10, 'min_samples_split': 2}"
dataset-of-60s,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 100}","{'learning_rate': 0.5, 'n_estimators': 100}",{'C': 10},"{'alpha': 0.001, 'penalty': 'l2'}",{},"{'max_depth': 10, 'min_samples_split': 5}"
dataset-of-70s,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}","{'learning_rate': 0.05, 'max_depth': None, 'max_iter': 100}","{'learning_rate': 0.5, 'n_estimators': 100}",{'C': 1},"{'alpha': 0.0001, 'penalty': 'l2'}",{},"{'max_depth': 10, 'min_samples_split': 2}"
dataset-of-80s,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 200}","{'learning_rate': 0.5, 'n_estimators': 100}",{'C': 0.1},"{'alpha': 0.0001, 'penalty': 'l1'}",{},"{'max_depth': 10, 'min_samples_split': 2}"
dataset-of-90s,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': None, 'max_iter': 100}","{'learning_rate': 0.5, 'n_estimators': 100}",{'C': 10},"{'alpha': 0.0001, 'penalty': 'l1'}",{},"{'max_depth': 10, 'min_samples_split': 2}"
Overall,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}","{'learning_rate': 0.1, 'max_depth': 10, 'max_iter': 200}","{'learning_rate': 0.5, 'n_estimators': 100}",{'C': 0.1},"{'alpha': 0.001, 'penalty': 'l1'}",{},"{'max_depth': 10, 'min_samples_split': 2}"
