,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections
Cluster 0,0.5876934624697336,0.6979410258159123,5.2730279984994715,-8.06435958121611,0.6888108310882237,0.07940407529925315,0.21502611946322023,0.08796830806807038,0.20888575179892915,0.6219146819902465,123.02368349077516,230654.80015687345,3.9693414725642002,39.94186003649013,10.223851584080755
Cluster 1,0.42024660952219284,0.28490602783671387,5.065687855384876,-15.5898160061105,0.7046592548586946,0.05692496817448867,0.7354229929890517,0.3197770998743958,0.1832407111940932,0.3446617703471102,110.16673241110074,245386.22456080795,3.70542306713061,40.51461925655605,11.102350844436899
