,hit_rate,hit_rate,hit_rate,hit_rate,hit_rate,hit_rate,hit_rate,hits,hits,hits,hits,hits,hits,hits,total_songs,total_songs,total_songs,total_songs,total_songs,total_songs,total_songs
decade,00s,10s,60s,70s,80s,90s,Overall,00s,10s,60s,70s,80s,90s,Overall,00s,10s,60s,70s,80s,90s,Overall
genre,,,,,,,,,,,,,,,,,,,,,
edm,0.5551020408163265,0.4927536231884058,0.66015625,0.4566929133858268,0.49372384937238495,0.563265306122449,0.5366336633663367,136,136,169,116,118,138,813,245,276,256,254,239,245,1515
latin,0.5435967302452316,0.5163120567375886,0.6960352422907489,0.6144578313253012,0.5204918032786885,0.4869791666666667,0.5456445993031359,399,364,158,204,254,187,1566,734,705,227,332,488,384,2870
pop,0.6720116618075802,0.6635233604800685,0.5942857142857143,0.5530711206896551,0.5018399264029438,0.3912742382271468,0.5712636695018226,922,1548,3224,2053,1091,565,9403,1372,2333,5425,3712,2174,1444,16460
r&b,0.5117126496616345,0.4091233071988596,0.1956521739130435,0.5488180883864338,0.622680412371134,0.6732979664014147,0.5504528985507247,983,574,117,1068,1812,1523,6077,1921,1403,598,1946,2910,2262,11040
rap,0.6786324786324787,0.6630286493860846,0.21454545454545454,0.25206611570247933,0.12883435582822086,0.6994535519125683,0.5414551607445008,397,486,59,61,21,256,1280,585,733,275,242,163,366,2364
rock,0.09664694280078895,0.09408033826638477,0.3188172043010753,0.2965571205007825,0.16934619506966775,0.11124694376528117,0.2055774565630019,98,89,593,379,158,91,1408,1014,946,1860,1278,933,818,6849
